"Station Longitude","Station Latitude","Variable Name","Metric","Timestamp","Value","Infilled","Range check","Continuity check","Persistence check","Climatological check","Spatial check","Temporal check","Check outcome"
14.69405556,40.65544444,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.70841667,40.80961111,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.54094444,40.95911111,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.83936111,41.36883333,"Rainfall","SUM",2022-03-19,2.8,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.77588889,40.71919444,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.007975,41.36690556,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.19673333,40.51201111,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.25197222,40.676,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.60127778,40.72483333,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.42838889,40.43833333,"Rainfall","SUM",2022-03-19,1.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.52055556,41.32766667,"Rainfall","SUM",2022-03-19,1.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.70625,40.67841667,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.9806,40.5536722,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.37244444,40.82555556,"Rainfall","SUM",2022-03-19,0.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.47598333,41.28321667,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
13.95843056,41.17782222,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
